time_entry,time_exit,symbol,side,entry,exit,pnl_pct,reason,profile_run,risk_perc_run,R_multiple,account_pnl_pct,account_pnl_usd,equity_before,equity_after,qty,notional_usd,time_limit_applied,time_limit_minutes,unrealized_pct_at_90m,be_armed,leg,leg_fraction
2025-08-15 22:58:59,2025-08-16 00:28:59,BTCUSDT,LONG,117682.010000,117682.010000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,10000.00,10000.00,1.416246,166666.67,True,90,,False,FULL,1.00
2025-08-16 00:29:59,2025-08-16 01:59:59,BTCUSDT,LONG,117479.980000,117821.600000,0.2908,ExitD_TimeMax_Profit,SAFE,100.00,0.0485,4.8465,484.65,10000.00,10484.65,1.418681,166666.67,True,90,,False,FULL,1.00
2025-08-16 02:00:59,2025-08-16 03:30:59,BTCUSDT,LONG,117788.040000,117788.040000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,10484.65,10484.65,1.483548,174744.17,True,90,,False,FULL,1.00
2025-08-16 03:31:59,2025-08-16 05:01:59,BTCUSDT,LONG,117559.010000,117817.510000,0.2199,ExitD_TimeMax_Profit,SAFE,100.00,0.0366,3.6648,384.24,10484.65,10868.89,1.486438,174744.17,True,90,,False,FULL,1.00
2025-08-16 05:02:59,2025-08-16 06:32:59,BTCUSDT,LONG,117804.030000,117804.030000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,10868.89,10868.89,1.537708,181148.24,True,90,,False,FULL,1.00
2025-08-16 06:33:59,2025-08-16 08:03:59,BTCUSDT,LONG,117432.240000,117571.350000,0.1185,ExitD_TimeMax_Profit,SAFE,100.00,0.0197,1.9743,214.59,10868.89,11083.48,1.542577,181148.24,True,90,,False,FULL,1.00
2025-08-16 08:04:59,2025-08-16 09:47:59,BTCUSDT,LONG,117563.430000,117563.430000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,11083.48,11083.48,1.571277,184724.70,True,90,,False,FULL,1.00
2025-08-16 09:48:59,2025-08-16 11:18:59,BTCUSDT,LONG,117549.990000,117549.990000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,11083.48,11083.48,1.571457,184724.70,True,90,,False,FULL,1.00
2025-08-16 11:19:59,2025-08-16 12:49:59,BTCUSDT,LONG,117520.010000,117678.350000,0.1347,ExitD_TimeMax_Profit,SAFE,100.00,0.0225,2.2456,248.89,11083.48,11332.37,1.571857,184724.70,True,90,,False,FULL,1.00
2025-08-16 12:50:59,2025-08-16 14:20:59,BTCUSDT,LONG,117686.240000,117686.240000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,11332.37,11332.37,1.604885,188872.83,True,90,,False,FULL,1.00
2025-08-16 14:21:59,2025-08-16 16:15:59,BTCUSDT,LONG,117670.660000,117793.840000,0.1047,ExitD_TimeMax_Profit,SAFE,100.00,0.0174,1.7447,197.72,11332.37,11530.09,1.605097,188872.83,True,90,,False,FULL,1.00
2025-08-16 16:16:59,2025-08-16 17:46:59,BTCUSDT,LONG,117793.850000,117793.850000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,11530.09,11530.09,1.631393,192168.10,True,90,,False,FULL,1.00
2025-08-16 17:47:59,2025-08-16 20:00:59,BTCUSDT,LONG,117660.910000,117660.910000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,11530.09,11530.09,1.633237,192168.10,True,90,,False,FULL,1.00
2025-08-16 20:01:59,2025-08-16 21:31:59,BTCUSDT,LONG,117659.420000,117659.420000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,11530.09,11530.09,1.633257,192168.10,True,90,,False,FULL,1.00
2025-08-16 21:32:59,2025-08-16 23:02:59,BTCUSDT,LONG,117533.230000,117533.230000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,11530.09,11530.09,1.635011,192168.10,True,90,,False,FULL,1.00
2025-08-16 23:03:59,2025-08-17 00:33:59,BTCUSDT,LONG,117433.380000,117433.380000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,11530.09,11530.09,1.636401,192168.10,True,90,,False,FULL,1.00
2025-08-17 00:34:59,2025-08-17 02:04:59,BTCUSDT,LONG,117284.100000,117478.840000,0.1660,ExitD_TimeMax_Profit,SAFE,100.00,0.0277,2.7674,319.08,11530.09,11849.16,1.638484,192168.10,True,90,,False,FULL,1.00
2025-08-17 02:05:59,2025-08-17 03:37:59,BTCUSDT,LONG,117498.990000,117635.420000,0.1161,ExitD_TimeMax_Profit,SAFE,100.00,0.0194,1.9352,229.30,11849.16,12078.47,1.680747,197486.07,True,90,,False,FULL,1.00
2025-08-17 03:38:59,2025-08-17 05:08:59,BTCUSDT,LONG,117659.420000,118047.200000,0.3296,ExitD_TimeMax_Profit,SAFE,100.00,0.0549,5.4930,663.47,12078.47,12741.94,1.710937,201307.81,True,90,,False,FULL,1.00
2025-08-17 05:09:59,2025-08-17 06:39:59,BTCUSDT,LONG,118080.080000,118080.080000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,12741.94,12741.94,1.798488,212365.59,True,90,,False,FULL,1.00
2025-08-17 06:40:59,2025-08-17 08:10:59,BTCUSDT,LONG,117955.890000,117955.890000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,12741.94,12741.94,1.800381,212365.59,True,90,,False,FULL,1.00
2025-08-17 08:11:59,2025-08-17 09:41:59,BTCUSDT,LONG,117939.580000,118270.360000,0.2805,ExitD_TimeMax_Profit,SAFE,100.00,0.0467,4.6744,595.61,12741.94,13337.55,1.800630,212365.59,True,90,,False,FULL,1.00
2025-08-17 09:42:59,2025-08-17 11:17:59,BTCUSDT,LONG,118294.680000,118294.680000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,13337.55,13337.55,1.879142,222292.46,True,90,,False,FULL,1.00
2025-08-17 11:18:59,2025-08-17 12:48:59,BTCUSDT,LONG,118298.090000,118298.090000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,13337.55,13337.55,1.879088,222292.46,True,90,,False,FULL,1.00
2025-08-17 12:49:59,2025-08-17 14:20:59,BTCUSDT,LONG,118231.250000,118231.250000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,13337.55,13337.55,1.880150,222292.46,True,90,,False,FULL,1.00
2025-08-17 14:21:59,2025-08-17 16:00:59,BTCUSDT,LONG,118160.090000,118294.110000,0.1134,ExitD_TimeMax_Profit,SAFE,100.00,0.0189,1.8904,252.13,13337.55,13589.68,1.881282,222292.46,True,90,,False,FULL,1.00
2025-08-17 16:01:59,2025-08-17 17:31:59,BTCUSDT,LONG,118304.640000,118304.640000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,13589.68,13589.68,1.914503,226494.62,True,90,,False,FULL,1.00
2025-08-17 17:32:59,2025-08-17 19:02:59,BTCUSDT,LONG,117868.010000,117868.010000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,13589.68,13589.68,1.921595,226494.62,True,90,,False,FULL,1.00
2025-08-17 19:03:59,2025-08-17 20:33:59,BTCUSDT,LONG,117498.510000,117696.380000,0.1684,ExitD_TimeMax_Profit,SAFE,100.00,0.0281,2.8067,381.42,13589.68,13971.10,1.927638,226494.62,True,90,,False,FULL,1.00
2025-08-17 20:34:59,2025-08-17 22:05:59,BTCUSDT,LONG,117707.400000,117826.000000,0.1008,ExitD_TimeMax_Profit,SAFE,100.00,0.0168,1.6793,234.62,13971.10,14205.72,1.978224,232851.65,True,90,,False,FULL,1.00
2025-08-17 22:06:59,2025-08-17 23:36:59,BTCUSDT,LONG,117750.470000,117750.470000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,14205.72,14205.72,2.010709,236761.94,True,90,,False,FULL,1.00
2025-08-17 23:37:59,2025-08-18 01:07:59,BTCUSDT,LONG,117498.190000,117498.190000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,14205.72,14205.72,2.015026,236761.94,True,90,,False,FULL,1.00
2025-08-18 01:08:59,2025-08-18 02:38:59,BTCUSDT,LONG,117299.990000,117299.990000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,14205.72,14205.72,2.018431,236761.94,True,90,,False,FULL,1.00
