time_entry,time_exit,symbol,side,entry,exit,pnl_pct,reason,profile_run,risk_perc_run,R_multiple,account_pnl_pct,account_pnl_usd,equity_before,equity_after,qty,notional_usd,time_limit_applied,time_limit_minutes,unrealized_pct_at_90m,be_armed,leg,leg_fraction
2025-08-15 22:58:59,2025-08-16 00:28:59,ETHUSDT,LONG,4477.050000,4477.050000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,10000.00,10000.00,37.226894,166666.67,True,90,,False,FULL,1.00
2025-08-16 00:29:59,2025-08-16 01:59:59,ETHUSDT,LONG,4452.600000,4487.590000,0.7858,ExitD_TimeMax_Profit,SAFE,100.00,0.1310,13.0972,1309.72,10000.00,11309.72,37.431314,166666.67,True,90,,False,FULL,1.00
2025-08-16 02:00:59,2025-08-16 03:30:59,ETHUSDT,LONG,4480.960000,4480.960000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,11309.72,11309.72,42.065843,188495.36,True,90,,False,FULL,1.00
2025-08-16 03:31:59,2025-08-16 05:01:59,ETHUSDT,LONG,4442.560000,4450.890000,0.1875,ExitD_TimeMax_Profit,SAFE,100.00,0.0313,3.1251,353.44,11309.72,11663.16,42.429446,188495.36,True,90,,False,FULL,1.00
2025-08-16 05:02:59,2025-08-16 06:32:59,ETHUSDT,LONG,4448.350000,4448.350000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,11663.16,11663.16,43.698446,194385.98,True,90,,False,FULL,1.00
2025-08-16 06:33:59,2025-08-16 08:03:59,ETHUSDT,LONG,4426.610000,4450.740000,0.5451,ExitD_TimeMax_Profit,SAFE,100.00,0.0909,9.0852,1059.62,11663.16,12722.78,43.913058,194385.98,True,90,,False,FULL,1.00
2025-08-16 08:04:59,2025-08-16 09:39:59,ETHUSDT,LONG,4448.040000,4454.300000,0.1407,ExitD_TimeMax_Profit,SAFE,100.00,0.0235,2.3456,298.43,12722.78,13021.21,47.671862,212046.35,True,90,,False,FULL,1.00
2025-08-16 09:40:59,2025-08-16 11:10:59,ETHUSDT,LONG,4455.490000,4455.490000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,13021.21,13021.21,48.708473,217020.12,True,90,,False,FULL,1.00
2025-08-16 11:11:59,2025-08-16 12:41:59,ETHUSDT,LONG,4416.440000,4416.440000,0.0000,ExitD_TimeMax_BE,SAFE,100.00,0.0000,0.0000,0.00,13021.21,13021.21,49.139152,217020.12,True,90,,False,FULL,1.00
2025-08-16 12:42:59,2025-08-16 14:12:59,ETHUSDT,LONG,4390.510000,4404.630000,0.3216,ExitD_TimeMax_Profit,SAFE,100.00,0.0536,5.3600,697.94,13021.21,13719.15,49.429364,217020.12,True,90,,False,FULL,1.00
